Tiempo,ID,PosX,PosY,Masa,Activa
1.07,4,75.02,78.23,2.5,1
1.08,1,26.2,22.23,2,1
1.08,2,78.7216,24.6813,3,1
1.08,3,21.88,73.8,1.5,1
1.08,4,74.88,78.12,2.5,1
1.09,1,26.35,22.14,2,1
1.09,2,78.8581,24.7544,3,1
1.09,3,21.99,73.65,1.5,1
1.09,4,74.74,78.01,2.5,1
1.1,1,26.5,22.05,2,1
1.1,2,78.9945,24.8275,3,1
1.1,3,22.1,73.5,1.5,1
1.1,4,74.6,77.9,2.5,1
1.11,1,26.65,21.96,2,1
1.11,2,79.131,24.9006,3,1
1.11,3,22.21,73.35,1.5,1
1.11,4,74.46,77.8,2.5,1
1.12,1,26.8,21.87,2,1
1.12,2,79.2675,24.9737,3,1
1.12,3,22.32,73.2,1.5,1
1.12,4,74.32,77.8825,2.5,1
1.13,1,26.95,21.78,2,1
1.13,2,79.4039,25.0468,3,1
1.13,3,22.43,73.05,1.5,1
1.13,4,74.18,77.965,2.5,1
1.14,1,27.1,21.69,2,1
1.14,2,79.5404,25.1199,3,1
1.14,3,22.54,72.9,1.5,1
1.14,4,74.04,78.0475,2.5,1
1.15,1,27.25,21.6,2,1
1.15,2,79.6768,25.193,3,1
1.15,3,22.65,72.75,1.5,1
1.15,4,73.9,78.13,2.5,1
1.16,1,27.4,21.51,2,1
1.16,2,79.8133,25.2661,3,1
1.16,3,22.76,72.6,1.5,1
1.16,4,73.76,78.2125,2.5,1
1.17,1,27.55,21.42,2,1
1.17,2,79.9498,25.3392,3,1
1.17,3,22.87,72.45,1.5,1
1.17,4,73.62,78.295,2.5,1
1.18,1,27.7,21.33,2,1
1.18,2,80.0862,25.4123,3,1
1.18,3,22.98,72.3,1.5,1
1.18,4,73.48,78.3775,2.5,1
1.19,1,27.85,21.24,2,1
1.19,2,80.2227,25.4854,3,1
1.19,3,23,72.15,1.5,1
1.19,4,73.34,78.46,2.5,1
1.2,1,28,21.15,2,1
1.2,2,80.3591,25.5585,3,1
1.2,3,22.9175,72,1.5,1
1.2,4,73.2,78.5425,2.5,1
1.21,1,28.15,21.06,2,1
1.21,2,80.4956,25.6316,3,1
1.21,3,22.835,71.85,1.5,1
1.21,4,73.06,78.625,2.5,1
1.22,1,28.3,20.97,2,1
1.22,2,80.6321,25.7047,3,1
1.22,3,22.7525,71.7,1.5,1
1.22,4,72.92,78.7075,2.5,1
1.23,1,28.45,20.88,2,1
1.23,2,80.7685,25.7778,3,1
1.23,3,22.67,71.55,1.5,1
1.23,4,72.78,78.79,2.5,1
1.24,1,28.6,20.79,2,1
1.24,2,80.905,25.8509,3,1
1.24,3,22.5875,71.4,1.5,1
1.24,4,72.64,78.8725,2.5,1
1.25,1,28.75,20.7,2,1
1.25,2,81.0414,25.924,3,1
1.25,3,22.505,71.25,1.5,1
1.25,4,72.5,78.955,2.5,1
1.26,1,28.9,20.61,2,1
1.26,2,81.1779,25.9971,3,1
1.26,3,22.4225,71.1,1.5,1
1.26,4,72.36,79.0375,2.5,1
1.27,1,29.05,20.52,2,1
1.27,2,81.3144,26.0702,3,1
1.27,3,22.34,70.95,1.5,1
1.27,4,72.22,79.12,2.5,1
1.28,1,29.2,20.43,2,1
1.28,2,81.4508,26.1433,3,1
1.28,3,22.2575,70.8,1.5,1
